"cnes","codmunocor","ano","qtd_leitos","tipo","municipio","uf","regiao","cod_r_saude","r_saude","cod_macro_r_saude","macro_r_saude","total_internacoes","internacoes_motivo_aborto","internacoes_motivo_parto","internacoes_motivo_intercorrencia_puerperio","internacoes_motivo_intercorrencia_gravidez","internacoes_tipo_de_alta_alta","internacoes_tipo_de_alta_permanencia","internacoes_tipo_de_alta_transferencia","internacoes_tipo_de_alta_morte","internacoes_tipo_de_alta_administrativa","internacoes_amiu","internacoes_curetagem","internacoes_aborto_legal","internacoes_parto_acompanhante"
2593,280030,2022,"50_mais","privado","Aracaju","Sergipe","Nordeste",28001,"Aracaju",28001,"MACRO UNICA",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2593,280030,2023,"50_mais","privado","Aracaju","Sergipe","Nordeste",28001,"Aracaju",28001,"MACRO UNICA",0,0,0,0,0,0,0,0,0,0,0,0,0,0
3794,292740,2018,"50_mais","publico","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",5742,858,4311,76,497,5679,0,60,3,0,271,499,26,820
3794,292740,2019,"50_mais","publico","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",4383,875,2888,63,557,4356,0,27,0,0,302,499,42,158
3794,292740,2020,"50_mais","publico","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",4144,876,2744,47,477,4110,0,29,5,0,387,406,52,30
3794,292740,2021,"50_mais","publico","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",4124,840,2691,46,547,4111,0,13,0,0,423,331,48,0
3794,292740,2022,"50_mais","publico","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",4029,754,2684,66,525,4010,1,17,1,0,351,364,52,0
3794,292740,2023,"50_mais","publico","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",3460,700,2214,66,481,3442,2,16,0,0,343,293,73,0
3840,292740,2018,"50_mais","publico","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",6015,670,5042,84,219,5974,4,35,2,0,227,408,0,4454
3840,292740,2019,"50_mais","publico","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",6716,850,5553,87,226,6665,7,41,1,2,357,448,1,4930
3840,292740,2020,"50_mais","publico","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",7090,831,5883,96,280,7049,10,28,3,0,400,377,1,1883
3840,292740,2021,"50_mais","publico","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",6567,731,5272,82,482,6400,22,143,2,0,360,301,5,873
3840,292740,2022,"50_mais","publico","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",5794,674,4449,96,575,5582,74,138,0,0,336,279,3,1697
3840,292740,2023,"50_mais","publico","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",5647,711,4330,82,524,5518,77,52,0,0,392,269,6,2941
3859,292740,2018,"50_mais","publico","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",3927,450,3114,64,299,3896,13,17,1,0,3,359,2,3
3859,292740,2019,"50_mais","publico","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",3431,388,2640,60,343,3404,15,7,4,1,8,313,3,0
3859,292740,2020,"50_mais","publico","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",3449,352,2677,52,368,3404,26,14,5,0,25,265,3,3
3859,292740,2021,"50_mais","publico","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",4011,320,3026,69,596,3973,21,9,8,0,16,245,2,0
