"cnes","codmunocor","ano","qtd_leitos","tipo","municipio","uf","regiao","cod_r_saude","r_saude","cod_macro_r_saude","macro_r_saude","total_internacoes","internacoes_motivo_aborto","internacoes_motivo_parto","internacoes_motivo_intercorrencia_gravidez","internacoes_motivo_intercorrencia_puerperio","internacoes_tipo_de_alta_alta","internacoes_tipo_de_alta_permanencia","internacoes_tipo_de_alta_transferencia","internacoes_tipo_de_alta_morte","internacoes_tipo_de_alta_administrativa","internacoes_amiu","internacoes_curetagem","internacoes_parto_acompanhante","internacoes_aborto_legal"
7684,150240,2022,"50_mais","misto","Castanhal","Pará","Norte",15008,"Metropolitana III",15008,"MACRORREGIONAL II",3959,224,3639,507,30,3952,0,6,1,0,0,208,0,0
7684,150240,2023,"50_mais","misto","Castanhal","Pará","Norte",15008,"Metropolitana III",15008,"MACRORREGIONAL II",4288,321,3840,726,49,4281,0,6,1,0,0,306,0,0
8036,353440,2018,"50_mais","publico","Osasco","São Paulo","Sudeste",35014,"Rota Dos Bandeirantes",35014,"RRAS5",5493,383,4655,1094,54,5455,34,4,0,0,0,325,0,0
8036,353440,2019,"50_mais","publico","Osasco","São Paulo","Sudeste",35014,"Rota Dos Bandeirantes",35014,"RRAS5",5124,367,4155,1229,44,5070,42,11,1,0,0,306,0,0
8036,353440,2020,"50_mais","publico","Osasco","São Paulo","Sudeste",35014,"Rota Dos Bandeirantes",35014,"RRAS5",5842,395,4788,1363,50,5792,40,7,3,0,2,302,0,0
8036,353440,2021,"50_mais","publico","Osasco","São Paulo","Sudeste",35014,"Rota Dos Bandeirantes",35014,"RRAS5",4618,333,3760,1087,35,4572,30,15,1,0,0,276,0,0
8036,353440,2022,"50_mais","publico","Osasco","São Paulo","Sudeste",35014,"Rota Dos Bandeirantes",35014,"RRAS5",4612,333,3631,1087,43,4556,43,12,1,0,0,263,0,0
8036,353440,2023,"50_mais","publico","Osasco","São Paulo","Sudeste",35014,"Rota Dos Bandeirantes",35014,"RRAS5",4142,297,3319,847,56,4006,128,7,1,0,1,220,0,0
9539,354990,2018,"50_mais","misto","São José dos Campos","São Paulo","Sudeste",35171,"Alto Vale Do Paraiba",35171,"RRAS17",1958,102,1735,548,16,1957,0,1,0,0,0,96,0,0
9539,354990,2019,"50_mais","privado","São José dos Campos","São Paulo","Sudeste",35171,"Alto Vale Do Paraiba",35171,"RRAS17",0,0,0,0,0,0,0,0,0,0,0,0,0,0
9539,354990,2020,"50_mais","privado","São José dos Campos","São Paulo","Sudeste",35171,"Alto Vale Do Paraiba",35171,"RRAS17",0,0,0,0,0,0,0,0,0,0,0,0,0,0
9539,354990,2021,"50_mais","privado","São José dos Campos","São Paulo","Sudeste",35171,"Alto Vale Do Paraiba",35171,"RRAS17",0,0,0,0,0,0,0,0,0,0,0,0,0,0
9539,354990,2022,"50_mais","privado","São José dos Campos","São Paulo","Sudeste",35171,"Alto Vale Do Paraiba",35171,"RRAS17",0,0,0,0,0,0,0,0,0,0,0,0,0,0
9539,354990,2023,"50_mais","privado","São José dos Campos","São Paulo","Sudeste",35171,"Alto Vale Do Paraiba",35171,"RRAS17",0,0,0,0,0,0,0,0,0,0,0,0,0,0
9628,354990,2018,"50_mais","publico","São José dos Campos","São Paulo","Sudeste",35171,"Alto Vale Do Paraiba",35171,"RRAS17",4735,274,3988,1587,82,4719,3,8,5,0,0,225,0,0
9628,354990,2019,"50_mais","publico","São José dos Campos","São Paulo","Sudeste",35171,"Alto Vale Do Paraiba",35171,"RRAS17",6458,334,5616,2076,121,6443,6,7,2,0,2,283,0,0
9628,354990,2020,"50_mais","publico","São José dos Campos","São Paulo","Sudeste",35171,"Alto Vale Do Paraiba",35171,"RRAS17",6203,288,5515,2093,79,6191,8,2,2,0,1,253,0,0
9628,354990,2021,"50_mais","publico","São José dos Campos","São Paulo","Sudeste",35171,"Alto Vale Do Paraiba",35171,"RRAS17",6096,310,5369,1796,78,6083,6,6,1,0,6,258,0,0
9628,354990,2022,"50_mais","publico","São José dos Campos","São Paulo","Sudeste",35171,"Alto Vale Do Paraiba",35171,"RRAS17",6443,372,5280,2319,113,6428,5,8,2,0,7,314,0,0
