"cnes","codmunocor","ano","tipo","municipio","uf","regiao","cod_r_saude","r_saude","cod_macro_r_saude","macro_r_saude","obitos_maternos_totais","obitos_maternos_diretos","obitos_maternos_aborto","obitos_maternos_hipertensao","obitos_maternos_hemorragia","obitos_maternos_infec_puerperal"
9717,500270,2023,"misto","Campo Grande","Mato Grosso do Sul","Centro-Oeste",50011,"Centro",50011,"CENTRO",5,3,0,0,2,0
9725,500270,2018,"publico","Campo Grande","Mato Grosso do Sul","Centro-Oeste",50011,"Centro",50011,"CENTRO",5,4,1,1,0,0
9725,500270,2019,"publico","Campo Grande","Mato Grosso do Sul","Centro-Oeste",50011,"Centro",50011,"CENTRO",3,2,0,1,0,0
9725,500270,2020,"publico","Campo Grande","Mato Grosso do Sul","Centro-Oeste",50011,"Centro",50011,"CENTRO",0,0,0,0,0,0
9725,500270,2021,"publico","Campo Grande","Mato Grosso do Sul","Centro-Oeste",50011,"Centro",50011,"CENTRO",7,2,0,1,1,0
9725,500270,2022,"publico","Campo Grande","Mato Grosso do Sul","Centro-Oeste",50011,"Centro",50011,"CENTRO",5,1,0,0,0,0
9725,500270,2023,"publico","Campo Grande","Mato Grosso do Sul","Centro-Oeste",50011,"Centro",50011,"CENTRO",3,2,0,0,1,0
9768,500270,2018,"misto","Campo Grande","Mato Grosso do Sul","Centro-Oeste",50011,"Centro",50011,"CENTRO",0,0,0,0,0,0
9768,500270,2019,"misto","Campo Grande","Mato Grosso do Sul","Centro-Oeste",50011,"Centro",50011,"CENTRO",0,0,0,0,0,0
9768,500270,2020,"misto","Campo Grande","Mato Grosso do Sul","Centro-Oeste",50011,"Centro",50011,"CENTRO",0,0,0,0,0,0
9768,500270,2021,"misto","Campo Grande","Mato Grosso do Sul","Centro-Oeste",50011,"Centro",50011,"CENTRO",0,0,0,0,0,0
9768,500270,2022,"misto","Campo Grande","Mato Grosso do Sul","Centro-Oeste",50011,"Centro",50011,"CENTRO",0,0,0,0,0,0
9768,500270,2023,"misto","Campo Grande","Mato Grosso do Sul","Centro-Oeste",50011,"Centro",50011,"CENTRO",0,0,0,0,0,0
10456,530010,2019,"misto","Brasília","Distrito Federal","Centro-Oeste",53001,"Distrito Federal",53001,"DISTRITO FEDERAL",2,0,0,0,0,0
10456,530010,2020,"misto","Brasília","Distrito Federal","Centro-Oeste",53001,"Distrito Federal",53001,"DISTRITO FEDERAL",4,0,0,0,0,0
10456,530010,2021,"misto","Brasília","Distrito Federal","Centro-Oeste",53001,"Distrito Federal",53001,"DISTRITO FEDERAL",7,1,0,0,0,0
10456,530010,2022,"misto","Brasília","Distrito Federal","Centro-Oeste",53001,"Distrito Federal",53001,"DISTRITO FEDERAL",1,0,0,0,0,0
10456,530010,2023,"misto","Brasília","Distrito Federal","Centro-Oeste",53001,"Distrito Federal",53001,"DISTRITO FEDERAL",0,0,0,0,0,0
10464,530010,2018,"publico","Brasília","Distrito Federal","Centro-Oeste",53001,"Distrito Federal",53001,"DISTRITO FEDERAL",0,0,0,0,0,0
10464,530010,2019,"publico","Brasília","Distrito Federal","Centro-Oeste",53001,"Distrito Federal",53001,"DISTRITO FEDERAL",1,0,0,0,0,0
10464,530010,2020,"publico","Brasília","Distrito Federal","Centro-Oeste",53001,"Distrito Federal",53001,"DISTRITO FEDERAL",0,0,0,0,0,0
10464,530010,2021,"publico","Brasília","Distrito Federal","Centro-Oeste",53001,"Distrito Federal",53001,"DISTRITO FEDERAL",8,2,1,0,0,0
10464,530010,2022,"publico","Brasília","Distrito Federal","Centro-Oeste",53001,"Distrito Federal",53001,"DISTRITO FEDERAL",1,0,0,0,0,0
10464,530010,2023,"publico","Brasília","Distrito Federal","Centro-Oeste",53001,"Distrito Federal",53001,"DISTRITO FEDERAL",0,0,0,0,0,0
10472,530010,2018,"publico","Brasília","Distrito Federal","Centro-Oeste",53001,"Distrito Federal",53001,"DISTRITO FEDERAL",2,2,0,0,0,0
10472,530010,2019,"publico","Brasília","Distrito Federal","Centro-Oeste",53001,"Distrito Federal",53001,"DISTRITO FEDERAL",1,1,0,0,1,0
10472,530010,2020,"publico","Brasília","Distrito Federal","Centro-Oeste",53001,"Distrito Federal",53001,"DISTRITO FEDERAL",1,0,0,0,0,0
10472,530010,2021,"publico","Brasília","Distrito Federal","Centro-Oeste",53001,"Distrito Federal",53001,"DISTRITO FEDERAL",0,0,0,0,0,0
10472,530010,2022,"publico","Brasília","Distrito Federal","Centro-Oeste",53001,"Distrito Federal",53001,"DISTRITO FEDERAL",1,1,0,0,1,0
10472,530010,2023,"publico","Brasília","Distrito Federal","Centro-Oeste",53001,"Distrito Federal",53001,"DISTRITO FEDERAL",0,0,0,0,0,0
10480,530010,2018,"publico","Brasília","Distrito Federal","Centro-Oeste",53001,"Distrito Federal",53001,"DISTRITO FEDERAL",1,1,0,0,1,0
10480,530010,2019,"publico","Brasília","Distrito Federal","Centro-Oeste",53001,"Distrito Federal",53001,"DISTRITO FEDERAL",0,0,0,0,0,0
10480,530010,2020,"publico","Brasília","Distrito Federal","Centro-Oeste",53001,"Distrito Federal",53001,"DISTRITO FEDERAL",2,2,0,0,1,0
10480,530010,2021,"publico","Brasília","Distrito Federal","Centro-Oeste",53001,"Distrito Federal",53001,"DISTRITO FEDERAL",0,0,0,0,0,0
10480,530010,2022,"publico","Brasília","Distrito Federal","Centro-Oeste",53001,"Distrito Federal",53001,"DISTRITO FEDERAL",1,0,0,0,0,0
10480,530010,2023,"publico","Brasília","Distrito Federal","Centro-Oeste",53001,"Distrito Federal",53001,"DISTRITO FEDERAL",2,1,0,0,0,0
10499,530010,2018,"publico","Brasília","Distrito Federal","Centro-Oeste",53001,"Distrito Federal",53001,"DISTRITO FEDERAL",3,3,0,0,0,0
10499,530010,2019,"publico","Brasília","Distrito Federal","Centro-Oeste",53001,"Distrito Federal",53001,"DISTRITO FEDERAL",2,2,0,0,1,1
10499,530010,2020,"publico","Brasília","Distrito Federal","Centro-Oeste",53001,"Distrito Federal",53001,"DISTRITO FEDERAL",3,0,0,0,0,0
10499,530010,2021,"publico","Brasília","Distrito Federal","Centro-Oeste",53001,"Distrito Federal",53001,"DISTRITO FEDERAL",1,0,0,0,0,0
